Game ID,Game Name,Game Number,Status Code,Team A ID,Team A Organisation ID,Team A Code,Team A Official Name,Team A Short Name,Team B ID,Team B Organisation ID,Team B Code,Team B Official Name,Team B Short Name,Team A Score,Team B Score,Is Live,Current Period,Chrono,Live Game Status,Current Period Status,Host City,Host Country,Host Country Code,Venue ID,Venue Name,Game Date Time,Game Date Time UTC,Has Time Game Date Time,IANA Time Zone,UTC Offset,Is Postponed,Is Played Behind Closed Doors,Venue Capacity,Spectators,Statistic System,Group ID,Group Pairing Code,Round ID,Round Code,Round Name,Round Number,Round Type,Round Status Code,Competition ID,Competition Code,Competition Official Name,Competition Start,Competition End,Competition Status,Competition Age Category,Competition Gender,Competition FIBA Zone,Competition Zone Code,Competition Type,Competition Category Code,Competition Category Name
49536,6175-F-5,5,VALID,133924,108,MOZ,Mozambique,Mozambique,122508,166,ZAM,Zambia,Zambia,103,28,False,Q4,,999,,,,,0,,2011-01-12T14:00:00,2011-01-12T14:00:00,True,,,False,False,0,0,,12432,F,6175,QR,Qualifying Round,1,G,CLOS,4360,AFMSW,FIBA Africa Championship for Women,2010-05-29,2011-10-02,Closed,Senior,Women,FIBA Africa,AF,National Teams,CC,Continental Cup
49538,6175-F-7,7,VALID,122508,166,ZAM,Zambia,Zambia,122499,167,ZIM,Zimbabwe,Zimbabwe,51,74,False,Q4,,999,,,,,0,,2011-01-13T16:00:00,2011-01-13T16:00:00,True,,,False,False,0,0,,12432,F,6175,QR,Qualifying Round,1,G,CLOS,4360,AFMSW,FIBA Africa Championship for Women,2010-05-29,2011-10-02,Closed,Senior,Women,FIBA Africa,AF,National Teams,CC,Continental Cup
49530,6175-F-10,10,VALID,122502,884,RSA,South Africa,South Africa,122508,166,ZAM,Zambia,Zambia,83,42,False,Q4,,999,,,,,0,,2011-01-14T18:00:00,2011-01-14T18:00:00,True,,,False,False,0,0,,12432,F,6175,QR,Qualifying Round,1,G,CLOS,4360,AFMSW,FIBA Africa Championship for Women,2010-05-29,2011-10-02,Closed,Senior,Women,FIBA Africa,AF,National Teams,CC,Continental Cup
49531,6175-F-11,11,VALID,133924,108,MOZ,Mozambique,Mozambique,122508,166,ZAM,Zambia,Zambia,123,42,False,Q4,,999,,,,,0,,2011-01-15T14:00:00,2011-01-15T14:00:00,True,,,False,False,0,0,,12432,F,6175,QR,Qualifying Round,1,G,CLOS,4360,AFMSW,FIBA Africa Championship for Women,2010-05-29,2011-10-02,Closed,Senior,Women,FIBA Africa,AF,National Teams,CC,Continental Cup
49528,6175-E-9,9,VALID,130545,88,KEN,Kenya,Kenya,130551,147,TAN,Tanzania,Tanzania,72,37,False,Q4,,999,,,,,0,,2011-02-10T13:30:00,2011-02-10T13:30:00,True,,,False,False,0,0,,12431,E,6175,QR,Qualifying Round,1,G,CLOS,4360,AFMSW,FIBA Africa Championship for Women,2010-05-29,2011-10-02,Closed,Senior,Women,FIBA Africa,AF,National Teams,CC,Continental Cup
49517,6175-E-12,12,VALID,130539,337,UGA,Uganda,Uganda,133916,128,RWA,Rwanda,Rwanda,59,74,False,Q4,,999,,,,,0,,2011-02-11T20:00:00,2011-02-11T20:00:00,True,,,False,False,0,0,,12431,E,6175,QR,Qualifying Round,1,G,CLOS,4360,AFMSW,FIBA Africa Championship for Women,2010-05-29,2011-10-02,Closed,Senior,Women,FIBA Africa,AF,National Teams,CC,Continental Cup
70677,9316-A-1,1,VALID,213900,167,ZIM,Zimbabwe,Zimbabwe,219171,884,RSA,South Africa,South Africa,63,69,False,Q4,,999,,,,,0,,2015-02-21T16:00:00,2015-02-21T16:00:00,True,,,False,False,0,0,,19098,A,9316,Z6,Zone 6,6,G,CLOS,6313,AFMSW,Afrobasket Women,2014-07-16,2015-10-03,Closed,Senior,Women,FIBA Africa,AF,National Teams,CC,Continental Cup
70678,9316-A-2,2,VALID,213900,167,ZIM,Zimbabwe,Zimbabwe,213986,1897,BOT,Botswana,Botswana,76,44,False,Q4,,999,,,,,0,,2015-02-22T18:00:00,2015-02-22T18:00:00,True,,,False,False,0,0,,19098,A,9316,Z6,Zone 6,6,G,CLOS,6313,AFMSW,Afrobasket Women,2014-07-16,2015-10-03,Closed,Senior,Women,FIBA Africa,AF,National Teams,CC,Continental Cup
70679,9316-A-3,3,VALID,219171,884,RSA,South Africa,South Africa,213986,1897,BOT,Botswana,Botswana,72,33,False,Q4,,999,,,,,0,,2015-02-24T16:00:00,2015-02-24T16:00:00,True,,,False,False,0,0,,19098,A,9316,Z6,Zone 6,6,G,CLOS,6313,AFMSW,Afrobasket Women,2014-07-16,2015-10-03,Closed,Senior,Women,FIBA Africa,AF,National Teams,CC,Continental Cup
70680,9316-A-4,4,VALID,213986,1897,BOT,Botswana,Botswana,219171,884,RSA,South Africa,South Africa,35,55,False,Q4,,999,,,,,0,,2015-02-25T16:00:00,2015-02-25T16:00:00,True,,,False,False,0,0,,19098,A,9316,Z6,Zone 6,6,G,CLOS,6313,AFMSW,Afrobasket Women,2014-07-16,2015-10-03,Closed,Senior,Women,FIBA Africa,AF,National Teams,CC,Continental Cup
70681,9316-A-5,5,VALID,213900,167,ZIM,Zimbabwe,Zimbabwe,213986,1897,BOT,Botswana,Botswana,65,39,False,Q4,,999,,,,,0,,2015-02-27T16:00:00,2015-02-27T16:00:00,True,,,False,False,0,0,,19098,A,9316,Z6,Zone 6,6,G,CLOS,6313,AFMSW,Afrobasket Women,2014-07-16,2015-10-03,Closed,Senior,Women,FIBA Africa,AF,National Teams,CC,Continental Cup
70682,9316-A-6,6,VALID,219171,884,RSA,South Africa,South Africa,213900,167,ZIM,Zimbabwe,Zimbabwe,52,47,False,Q4,,999,,,,,0,,2015-02-28T16:00:00,2015-02-28T16:00:00,True,,,False,False,0,0,,19098,A,9316,Z6,Zone 6,6,G,CLOS,6313,AFMSW,Afrobasket Women,2014-07-16,2015-10-03,Closed,Senior,Women,FIBA Africa,AF,National Teams,CC,Continental Cup
70926,9388-A-1,1,VALID,219191,10,ALG,Algeria,Algeria,214441,107,MAR,Morocco,Morocco,72,43,False,Q4,,999,,,,,0,,2015-04-30T17:00:00,2015-04-30T17:00:00,True,,,False,False,0,0,,19222,A,9388,Z1,Zone 1,1,G,CLOS,6313,AFMSW,Afrobasket Women,2014-07-16,2015-10-03,Closed,Senior,Women,FIBA Africa,AF,National Teams,CC,Continental Cup
70927,9388-A-2,2,VALID,214441,107,MAR,Morocco,Morocco,219191,10,ALG,Algeria,Algeria,44,55,False,Q4,,999,,,,,0,,2015-05-01T17:00:00,2015-05-01T17:00:00,True,,,False,False,0,0,,19222,A,9388,Z1,Zone 1,1,G,CLOS,6313,AFMSW,Afrobasket Women,2014-07-16,2015-10-03,Closed,Senior,Women,FIBA Africa,AF,National Teams,CC,Continental Cup
71078,9414-1-A,A,VALID,219251,100,MLI,Mali,Mali,219241,195,GUI,Guinea,Guinea,108,30,False,Q4,,999,,,,,0,,2015-06-28T17:00:00,2015-06-28T17:00:00,True,,,False,False,0,0,,19272,1,9414,Z2,Zone 2,2,NG,CLOS,6313,AFMSW,Afrobasket Women,2014-07-16,2015-10-03,Closed,Senior,Women,FIBA Africa,AF,National Teams,CC,Continental Cup
71079,9414-1-B,B,VALID,219241,195,GUI,Guinea,Guinea,219251,100,MLI,Mali,Mali,21,94,False,Q4,,999,,,,,0,,2015-06-29T17:00:00,2015-06-29T17:00:00,True,,,False,False,0,0,,19272,1,9414,Z2,Zone 2,2,NG,CLOS,6313,AFMSW,Afrobasket Women,2014-07-16,2015-10-03,Closed,Senior,Women,FIBA Africa,AF,National Teams,CC,Continental Cup
71051,9410-1-A,A,VALID,214514,44,CIV,Côte d'Ivoire,Côte d'Ivoire,219271,116,NGR,Nigeria,Nigeria,43,88,False,Q4,,999,,,,,0,,2015-06-05T17:00:00,2015-06-05T17:00:00,True,,,False,False,0,0,,19268,1,9410,Z3,Zone 3,3,NG,CLOS,6313,AFMSW,Afrobasket Women,2014-07-16,2015-10-03,Closed,Senior,Women,FIBA Africa,AF,National Teams,CC,Continental Cup
103019,25670-A-2,2,VALID,276341,70340,,New York Liberty,New York Liberty,276340,70339,,Los Angeles Sparks,Los Angeles Sparks,28,42,False,Q1,,5,,,Israel,ISR,0,,2016-08-15T00:00:00,2016-08-15T00:00:00,False,,,False,False,0,0,,38182,A,25670,GP,Group Phase,1,G,COMPL,208258,BWBW-EUR,BWB Europe 2017 Women,2017-08-13,2017-08-16,Closed,Under 18,Women,FIBA World,W,Clubs,BWB,Basket Without Borders
104762,25899-A-1,1,VALID,276635,70339,,Los Angeles Sparks,Los Angeles Sparks,276636,70340,,Seattle Storms,Seattle Storms,15,15,False,Q1,,5,,,,,0,,2016-09-07T00:00:00,2016-09-07T00:00:00,False,,,False,False,0,0,,38666,A,25899,GP,Group Phase,1,G,COMPL,208274,BWBW-EUR,BWB Europe 2016 Women,2016-09-07,2016-09-10,Closed,Under 18,Women,FIBA Europe,E,Clubs,BWB,Basket Without Borders
