team,date,opponent,outcome,score,event,url
National Team,9/22/19,Paraguay,W,110-31,FIBA AmeriCup,https://www.usab.com/~/media/a4131d4433cd4e5ca58cc7974e816ac9.ashx?la=en
National Team,9/24/19,Colombia,W,88-46,FIBA AmeriCup,https://www.usab.com/~/media/6442d11160804d80b7dd4b331943d8fc.ashx?la=en
National Team,9/25/19,Argentina,W,100-50,FIBA AmeriCup,https://www.usab.com/~/media/88d94d11388b4de791129376c279e3f7.ashx?la=en
National Team,9/26/19,Brazil,W,89-73,FIBA AmeriCup,https://www.usab.com/~/media/bfe5a41b05d14f9f83fa85a50528ce47.ashx?la=en
National Team,9/28/19,Puerto Rico,W,78-54,FIBA AmeriCup,https://www.usab.com/~/media/3f6efa303316487592cea6364a66aa95.ashx?la=en
National Team,9/29/19,Canada,W,67-46,FIBA AmeriCup,https://www.usab.com/~/media/3db517fbcfcc4ffeaf6dd68f61764963.ashx?la=en
National Team,11/2/19,at Stanford,W,95-80,NCAA game,https://www.usab.com/~/media/5f5566c09119469aabd4e8434cbe1d09.ashx?la=en
National Team,11/4/19,at Oregon State,W,81-58,NCAA game,https://www.usab.com/~/media/329035691801441c9e4f473d6d4a4834.ashx?la=en
National Team,11/7/19,at Texas A&M,W,93-63,NCAA game,https://www.usab.com/basketball/media/pdfs/2019/wnt/texas-a-m-boxpdf.aspx
National Team,11/9/19,at Oregon,L,86-93,NCAA game,https://www.usab.com/~/media/5f464283531f48dd92547c56c4214230.ashx?la=en
National Team,11/14/19,Brazil,W,76-61,Olympic Qualifying Tournament,https://www.usab.com/~/media/32e948b09cfa475d83139646ebe708a0.ashx?la=en
National Team,11/16/19,Argentina,W,91-34,Olympic Qualifying Tournament,https://www.usab.com/~/media/cdd164d0275d429196050ca23dbc25e9.ashx?la=en
National Team,11/17/19,Colombia,W,104-48,Olympic Qualifying Tournament,https://www.usab.com/~/media/dd22b5134c4643d58737c0470e7ec02c.ashx?la=en
National Team,1/27/20,CONNECTICUT,W,79-64,NCAA game,https://www.usab.com/basketball/media/pdfs/2020/wnt/20-wnt-uconn-boxpdf.aspx
National Team,2/2/20,Louisville,W,97-54,NCAA game,https://www.usab.com/~/media/03cc09d2810541a497ee116c44702d8a.ashx?la=en
National Team,2/6/20,Serbia,W,88-69,Olympic Qualifying Tournament,http://www.fiba.basketball/oqtwomen/serbia/2020/game/0602/USA-Serbia#tab=boxscore
National Team,2/8/20,Mozambique,W,124-49,Olympic Qualifying Tournament,https://www.usab.com/~/media/d187a7573307481aa442df401b6e7cf0.ashx?la=en
National Team,2/9/20,Nigeria,W,76-71,Olympic Qualifying Tournament,https://www.usab.com/~/media/310f9631c24a427fa9a33f2954d9851a.ashx?la=en
National Team,9/22/18,Senegal,W,87-67,FIBA World Cup,https://www.usab.com/basketball/media/pdfs/2018/wwc/day-1/d2-usa-senpdf.aspx
National Team,9/23/18,China,W,100-88,FIBA World Cup,https://www.usab.com/basketball/media/pdfs/2018/wwc/day-2/d4-usa-chnpdf.aspx
National Team,9/25/18,Latvia,W,102-76,FIBA World Cup,https://www.usab.com/basketball/media/pdfs/2018/wwc/day-3/d5-usa-latpdf.aspx
National Team,9/28/18,Nigeria,W,71-40,FIBA World Cup,https://www.usab.com/basketball/media/pdfs/2018/wwc/day-5/32-ngr-usapdf.aspx
National Team,9/29/18,Belgium,W,93-77,FIBA World Cup,https://www.usab.com/basketball/media/pdfs/2018/wwc/day-6/36-usa-belpdf.aspx
National Team,9/30/18,Australia,W,73-56,FIBA World Cup,https://www.usab.com/basketball/media/pdfs/2018/wwc/day-7/40-goldenpdf.aspx
National Team,8/7/16,SENEGAL,W,121-56,Olympics,https://www.usab.com/basketball/media/pdfs/2016/woly-stats/usa-senegal-prelim-boxpdf.aspx
National Team,8/8/16,at Spain,W,103-63,Olympics,https://www.usab.com/basketball/media/pdfs/2016/woly-stats/usa-spain-prelim-boxpdf.aspx
National Team,8/10/16,SERBIA,W,110-84,Olympics,https://www.usab.com/~/media/9c121fffdc00466a843b62fca8e52c20.ashx?la=en
National Team,8/12/16,at Canada,W,81-51,Olympics,https://www.usab.com/~/media/fff4b8f735ac4fdba37bbeb2ca7fbde6.ashx?la=en
National Team,8/14/16,at China,W,105-62,Olympics,https://www.usab.com/basketball/media/pdfs/2016/woly-stats/usa---china-prelim-boxpdf.aspx
National Team,8/16/16,JAPAN,W,110-64,Olympics,https://www.usab.com/basketball/media/pdfs/2016/woly-stats/usa-japan-quarterfinal-boxpdf.aspx
National Team,8/18/16,at France,W,86-67,Olympics,https://www.usab.com/basketball/media/pdfs/2016/woly-stats/usa---france-sf-boxpdf.aspx
National Team,8/20/16,SPAIN,W,101-72,Olympics,https://www.usab.com/basketball/media/pdfs/2016/woly-stats/usa-spain-gold-boxpdf.aspx
National Team,10/4/15,Uni Girona,W,84-52,European Tour,https://www.usab.com/basketball/media/pdfs/2015/wnt-stats/15-usawnt-01pdf.aspx
National Team,10/7/15,Italy,W,79-66,European Tour,https://www.usab.com/basketball/media/pdfs/2015/wnt-stats/15-usawnt-02pdf.aspx
National Team,10/8/15,Dike Naples,W,86-50,European Tour,https://www.usab.com/basketball/media/pdfs/2015/wnt-stats/15-usawnt-03pdf.aspx
National Team,10/10/15,USK Prague,W,85-53,European Tour,https://www.usab.com/basketball/media/pdfs/2015/wnt-stats/15-usawnt-04pdf.aspx
National Team,9/27/14,China,W,87-56,FIBA World Cup,http://archive.usab.com/misc/14_wwc_game_01_box.pdf
National Team,9/28/14,Serbia,W,94-74,FIBA World Cup,http://archive.usab.com/misc/14_wwc_game_02_box.pdf
National Team,9/30/14,Angola,W,119-44,FIBA World Cup,http://archive.usab.com/misc/14_wwc_game_03_box.pdf
National Team,10/3/14,France,W,94-72,FIBA World Cup,http://archive.usab.com/misc/14_wwc_game_04_box.pdf
National Team,10/4/14,Australia,W,82-70,FIBA World Cup,http://archive.usab.com/misc/14_wwc_game_05_box.pdf
National Team,10/5/14,Spain,W,77-64,FIBA World Cup,http://archive.usab.com/misc/14_wwc_game_06_box.pdf
National Team,7/28/12,Croatia,W,81-56,Olympics,
National Team,7/30/12,Angola,W,90-38,Olympics,
National Team,8/1/12,Turkey,W,89-58,Olympics,
National Team,8/3/12,Czech Republic,W,88-61,Olympics,
National Team,8/5/12,China,W,114-66,Olympics,
National Team,8/7/12,Canada,W,91-48,Olympics,
National Team,8/9/12,Australia,W,86-73,Olympics,
National Team,8/11/12,France,W,86-50,Olympics,
National Team,5/12/12,China,W,100-62,Exhibition,
National Team,7/16/12,Brazil,W,99-67,Exhibition,
National Team,7/18/12,Great Britain,W,88-63,Exhibition,
National Team,7/21/12,Croatia,W,109-55,Exhibition,
National Team,7/22/12,Turkey,W,80-61,Exhibition,
National Team,7/27/16,France,W,84-62,Exhibition,https://www.usab.com/news-events/live-stats/2016/07/box-score-2016-wnt-showcase-game-usa-vs-france.aspx
National Team,9/17/18,France,W,77-60,Exhibition,https://www.usab.com/basketball/media/pdfs/2018/wnt/18-wnt-exh-5-boxpdf.aspx
National Team,9/16/18,Senegal,W,109-58,Exhibition,https://www.usab.com/basketball/media/pdfs/2018/wnt/18-wnt-exh-4-boxpdf.aspx
National Team,9/15/18,Canada,W,84-68,Exhibition,https://www.usab.com/basketball/media/pdfs/2018/wnt/18-wnt-exh-3-boxpdf.aspx
National Team,9/10/18,Japan,W,102-87,Exhibition,https://www.usab.com/news-events/live-stats/2018/usa-wnt-japan.aspx
National Team,9/8/18,Canada,W,74-68,Exhibition,https://www.usab.com/news-events/live-stats/2018/usa-canada.aspx
National Team,4/26/18,China,W,83-46,Exhibition,https://www.usab.com/news-events/live-stats/2018/2018-wnt-v-chn-box-score.aspx
National Team,7/31/16,Australia,W,104-89,Exhibition,https://www.usab.com/news-events/live-stats/2016/07/box-score-2016-wnt-showcase-game-usa-vs-australia.aspx
National Team,7/29/16,Canada,W,83-43,Exhibition,https://www.usab.com/news-events/live-stats/2016/07/box-score-2016-wnt-showcase-game-usa-vs-canada.aspx
National Team,7/25/16,USA Select,W,88-84,Exhibition,https://www.usab.com/news-events/live-stats/2016/07/box-score-2016-wnt-showcase-game-usa-vs-select-team.aspx
National Team,9/23/14,Czech Republic,W,76-41,Exhibition,http://archive.usab.com/misc/14_wwc_exh_05_box.pdf
National Team,9/21/14,France,L,72-76,Exhibition,http://archive.usab.com/misc/14_wwc_exh_04_box.pdf
National Team,9/20/14,China,W,99-75,Exhibition,http://archive.usab.com/misc/14_wwc_exh_03_box.pdf
National Team,9/19/14,Australia,W,72-66,Exhibition,http://archive.usab.com/misc/14_wwc_exh_02_box.pdf
National Team,9/15/14,Canada,W,76-51,Exhibition,http://archive.usab.com/misc/14_wwc_exh_o1_box.pdf
National Team,9/23/10,Greece,W,99-73,FIBA World Cup,
National Team,9/24/10,Senegal,W,108-52,FIBA World Cup,
National Team,9/25/10,France,W,81-60,FIBA World Cup,
National Team,9/27/10,Canada,W,87-46,FIBA World Cup,
National Team,9/28/10,Belarus,W,107-61,FIBA World Cup,
National Team,9/29/10,Australia,W,83-75,FIBA World Cup,
National Team,10/1/10,South Korea,W,106-44,FIBA World Cup,
National Team,10/2/10,Spain,W,106-70,FIBA World Cup,
National Team,10/3/10,Czech Republic,W,89-69,FIBA World Cup,
National Team,7/19/12,United Kingdom,W,88-63,Exhibition,
U-19,7/28/19,Australia,W,74-70,U19 World Cup,https://www.usab.com/~/media/2326eaae0c1d4f51849fb8a87ce3b72e.ashx?la=en
U-19,7/27/19,Belgium,W,67-59,U19 World Cup,https://www.usab.com/~/media/8c89d773d19041eab9a26a5f250e49ea.ashx?la=en
U-19,7/26/19,Canada,W,81-46,U19 World Cup,https://www.usab.com/~/media/b6c32f583d0f49a6879990297e5a6018.ashx?la=en
U-19,7/24/19,Germany,W,79-61,U19 World Cup,https://www.usab.com/~/media/c1aeffce2cc749d7a7213c5854d6cf19.ashx?la=en
U-19,7/23/19,Hungary,W,95-50,U19 World Cup,https://www.usab.com/~/media/907e9d633c754c2b901a92d74d1bc00b.ashx?la=en
U-19,7/21/19,South Korea,W,89-67,U19 World Cup,https://www.usab.com/~/media/cfec5d33cb074295921b8e0a6101cda7.ashx?la=en
U-19,7/20/19,Australia,W,79-56,U19 World Cup,https://www.usab.com/~/media/81eb5336ea57424a8017024db07dbeee.ashx?la=en
U-18,8/7/18,Canada,W,84-60,FIBA Americas U18,https://www.usab.com/basketball/media/pdfs/2018/wu18/stats/8-7-usa-canpdf.aspx
U-18,8/6/18,Colombia,W,83-47,FIBA Americas U18,https://www.usab.com/basketball/media/pdfs/2018/wu18/stats/8-6-usa-colpdf.aspx
U-18,8/5/18,El Salvador,W,87-27,FIBA Americas U18,https://www.usab.com/basketball/media/pdfs/2018/wu18/stats/8-5-usa-esapdf.aspx
U-18,8/3/18,Puerto Rico,W,103-59,FIBA Americas U18,https://www.usab.com/basketball/media/pdfs/2018/wu18/stats/8-3-usa-purpdf.aspx
U-18,8/2/18,Chile,W,115-39,FIBA Americas U18,https://www.usab.com/basketball/media/pdfs/2018/wu18/stats/8-2-usa-chipdf.aspx
U-18,8/1/18,Argentina,W,87-42,FIBA Americas U18,https://www.usab.com/basketball/media/pdfs/2018/wu18/stats/8-1-usa-argpdf.aspx
U-18,7/30/18,Canada,W,72-42,Exhibition,
U-19,7/30/17,Russia,L,82-86,U19 World Cup,https://www.usab.com/basketball/media/pdfs/2017/wu19-stats/july-30/17-wu19-usa-rus-073017pdf.aspx
U-19,7/29/17,Japan,W,73-66,U19 World Cup,https://www.usab.com/~/media/be26b0a379de47af9573aa7777ddcb21.ashx?la=en
U-19,7/28/17,France,W,78-51,U19 World Cup,https://www.usab.com/~/media/8b43853629154783a886fdda7977eeb1.ashx?la=en
U-19,7/26/17,Puerto Rico,W,104-46,U19 World Cup,https://www.usab.com/~/media/e3144f5376b64bcb81aaa1f6bd4ee647.ashx?la=en
U-19,7/25/17,Italy,W,66-49,U19 World Cup,https://www.usab.com/~/media/114c729d268a4af2bbe94d51c9146412.ashx?la=en
U-19,7/23/17,China,W,91-51,U19 World Cup,https://www.usab.com/~/media/1ee467ed66634a4dbf3d9b24f51637b4.ashx?la=en
U-19,7/22/17,Mali,W,95-58,U19 World Cup,https://www.usab.com/~/media/aa619b86efd24212b3bdb33558089285.ashx?la=en
U-19,7/19/17,Latvia,W,64-56,U19 World Cup,https://www.usab.com/~/media/5e610a05b88e4ef78bab0a1ce35149ba.ashx?la=en
U-19,7/18/17,Italy,W,62-36,U19 World Cup,https://www.usab.com/~/media/a561f3564a0d46ce873c7e94c7d72d23.ashx?la=en
U-19,7/17/17,Spain,W,84-72,Exhibition,https://www.usab.com/~/media/956263ee33944c1d8980e1b9be11ebb3.ashx?la=en
U-18,7/17/16,Canada,W,109-62,FIBA Americas U18,https://www.usab.com/basketball/media/pdfs/2016/wu18-stats/wu18-game-5-can-box-scorepdf.aspx
U-18,7/16/16,Puerto Rico,W,104-36,FIBA Americas U18,https://www.usab.com/basketball/media/pdfs/2016/wu18-stats/wu18-game-4-pur-box-scorepdf.aspx
U-18,7/15/16,Venezuela,W,110-52,FIBA Americas U18,https://www.usab.com/basketball/media/pdfs/2016/wu18-stats/wu18-game-3-ven-box-scorepdf.aspx
U-18,7/14/16,Brazil,W,80-59,FIBA Americas U18,https://www.usab.com/basketball/media/pdfs/2016/wu18-stats/wu18-game-2-brapdf.aspx
U-18,7/13/16,Guatemala,W,117-32,FIBA Americas U18,https://www.usab.com/basketball/media/pdfs/2016/wu18-stats/wu18-game-1-gua-box-scorepdf.aspx
U-19,7/26/15,Russia,W,78-70,U19 World Cup,https://www.usab.com/basketball/media/pdfs/2015/wu19-stats/july-26/box-score-11735-56-a-rus-usapdf.aspx
U-19,7/25/15,Spain,W,80-65,U19 World Cup,https://www.usab.com/basketball/media/pdfs/2015/wu19-stats/july-25/box-score-11726-48-a-esp-usapdf.aspx
U-19,7/22/15,Argentina,W,89-39,U19 World Cup,https://www.usab.com/basketball/media/pdfs/2015/wu19-stats/july-22/box-score-11720-28-a-arg-usapdf.aspx
U-19,7/21/15,Egypt,W,104-41,U19 World Cup,https://www.usab.com/basketball/media/pdfs/2015/wu19-stats/july-21/box-score-11717-b-6-usa-egypdf.aspx
U-19,7/19/15,China,W,88-62,U19 World Cup,https://www.usab.com/basketball/media/pdfs/2015/wu19-stats/july-19/box-score-11717-b-3-usa-chnpdf.aspx
U-19,7/18/15,Spain,W,72-57,U19 World Cup,https://www.usab.com/basketball/media/pdfs/2015/wu19-stats/july-18/box-score-11717-b-2-esp-usapdf.aspx
U-19,7/14/15,Spain,W,75-51,Exhibition,http://www.usab.com/basketball/media/pdfs/2015/wu19-stats/wu19-exhibition-stats/wu19-exh-usa-esppdf.aspx
U-19,7/13/15,Canada,W,95-40,Exhibition,http://www.usab.com/basketball/media/pdfs/2015/wu19-stats/wu19-exhibition-stats/wu19-exh-usa-canpdf.aspx
U-19,7/12/15,Australia,W,85-82,Exhibition,http://www.usab.com/basketball/media/pdfs/2015/wu19-stats/wu19-exhibition-stats/wu19-exh-usa-auspdf.aspx
U-18,8/10/14,Canada,W,104-74,FIBA Americas U18,http://archive.usab.com/womens/u18/14_wu18_game_05_box.html
U-18,8/9/14,Argentina,W,97-51,FIBA Americas U18,http://archive.usab.com/womens/u18/14_wu18_game_04_box.html
U-18,8/8/14,Canada,W,107-76,FIBA Americas U18,http://archive.usab.com/womens/u18/14_wu18_game_02_box.html
U-18,8/7/14,El Salvador,W,118-50,FIBA Americas U18,http://archive.usab.com/womens/u18/14_wu18_game_02_box.html
U-18,8/6/14,Mexico,W,104-55,FIBA Americas U18,http://archive.usab.com/womens/u18/14_wu18_game_01_box.html
U-17,7/29/18,France,W,92-40,U17 World Cup,https://www.usab.com/~/media/acad2378ada14df6a5b722c9dac8010c.ashx?la=en
U-17,7/28/18,Hungary,W,84-39,U17 World Cup,https://www.usab.com/~/media/09d0aacc7c174b239729950abc117d06.ashx?la=en
U-17,7/27/18,Spain,W,66-31,U17 World Cup,https://www.usab.com/~/media/8c2d327102b7479eb293006df9daaaa3.ashx?la=en
U-17,7/25/18,Colombia,W,98-42,U17 World Cup,https://www.usab.com/~/media/c220ca3b152d45a4866e64be0457ddda.ashx?la=en
U-17,7/24/18,China,W,107-50,U17 World Cup,https://www.usab.com/~/media/4034d0347ff5400d9ddc334107717bdb.ashx?la=en
U-17,7/22/18,Mali,W,92-39,U17 World Cup,https://www.usab.com/~/media/d88ad965785a452189c6187fc708f292.ashx?la=en
U-17,7/21/18,Italy,W,86-48,U17 World Cup,https://www.usab.com/~/media/2018f7c1af5a4032a0153ec29b35a27d.ashx?la=en
U-17,7/16/18,Canada,W,87-56,Exhibition,https://www.usab.com/~/media/4226e6c8bd804c5da4b85bf34bc67e50.ashx?la=en
U-17,7/15/18,Latvia,W,103-38,Exhibition,
U-17,7/14/18,China,W,106-48,Exhibition,https://www.usab.com/~/media/7cddf8fa57b946498d8c09cf82927c74.ashx?la=en
U-17,7/2/16,China,W,65-50,U17 World Cup,https://www.usab.com/basketball/media/pdfs/2016/wu17-stats/wu17-game-7-chn-box-scorepdf.aspx
U-17,7/1/16,Australia,L,60-73,U17 World Cup,https://www.usab.com/basketball/media/pdfs/2016/wu17-stats/wu17-game-6-aus-box-scorepdf.aspx
U-17,6/29/16,France,W,56-45,U17 World Cup,https://www.usab.com/basketball/media/pdfs/2016/wu17-stats/wu17-game-5-fra-box-scorepdf.aspx
U-17,6/27/16,Brazil,W,79-62,U17 World Cup,https://www.usab.com/basketball/media/pdfs/2016/wu17-stats/wu17-game-04-bra-box-scorepdf.aspx
U-17,6/25/16,Italy,W,59-55,U17 World Cup,https://www.usab.com/basketball/media/pdfs/2016/wu17-stats/wu17-game-3-itapdf.aspx
U-17,6/24/16,Czech Republic,W,72-63,U17 World Cup,https://www.usab.com/basketball/media/pdfs/2016/wu17-stats/wu17-game-02-cze-boxpdf.aspx
U-17,6/22/16,South Korea,W,104-45,U17 World Cup,https://www.usab.com/basketball/media/pdfs/2016/wu17-stats/16-wu17-box-01-korpdf.aspx
U-17,6/18/16,France,W,58-46,Exhibition,https://www.usab.com/basketball/media/pdfs/2016/wu17-stats/wu17-exh-01-boxpdf.aspx
U-17,7/6/14,Spain,W,77-75,U17 World Cup,
U-17,7/5/14,Hungary,W,91-63,U17 World Cup,
U-17,7/2/14,Mexico,W,91-35,U17 World Cup,
U-17,7/1/14,Mali,W,78-22,U17 World Cup,
U-17,6/29/14,France,W,88-40,U17 World Cup,
U-17,6/28/14,China,W,69-41,U17 World Cup,
U-17,6/22/14,France,L,72-78,Exhibition,
U-17,6/21/14,Canada,W,80-45,Exhibition,
U-17,6/20/14,China,W,89-49,Exhibition,
U-16,6/22/19,Canada,W,87-37,FIBA Americas U16,https://www.usab.com/basketball/media/pdfs/2019/wu16/6-22-usa-canpdf.aspx
U-16,6/21/19,Puerto Rico,W,103-30,FIBA Americas U16,https://www.usab.com/basketball/media/pdfs/2019/wu16/6-21-usa-purpdf.aspx
U-16,6/20/19,Brazil,W,107-32,FIBA Americas U16,https://www.usab.com/basketball/media/pdfs/2019/wu16/6-20-usa-brapdf.aspx
U-16,6/19/19,Mexico,W,98-33,FIBA Americas U16,https://www.usab.com/basketball/media/pdfs/2019/wu16/6-19-usa-mexpdf.aspx
U-16,6/18/19,Chile,W,109-44,FIBA Americas U16,https://www.usab.com/basketball/media/pdfs/2019/wu16/6-18-usa-chipdf.aspx
U-16,6/17/19,El Salvador,W,114-19,FIBA Americas U16,https://www.usab.com/basketball/media/pdfs/2019/wu16/6-17-usa-esapdf.aspx
U-16,6/11/17,Canada,W,91-46,FIBA Americas U16,https://www.usab.com/basketball/media/pdfs/2017/17-wu16-stats/6-11-usa-canpdf.aspx
U-16,6/10/17,Argentina,W,98-42,FIBA Americas U16,https://www.usab.com/basketball/media/pdfs/2017/17-wu16-stats/6-10-usa-argpdf.aspx
U-16,6/9/17,Puerto Rico,W,79-32,FIBA Americas U16,https://www.usab.com/basketball/media/pdfs/2017/17-wu16-stats/6-9-usa-purpdf.aspx
U-16,6/8/17,Mexico,W,100-37,FIBA Americas U16,https://www.usab.com/basketball/media/pdfs/2017/17-wu16-stats/6-8-usa-mexpdf.aspx
U-16,6/7/17,Colombia,W,91-33,FIBA Americas U16,https://www.usab.com/basketball/media/pdfs/2017/17-wu16-stats/6-7-usa-colpdf.aspx
U-16,6/28/15,Mexico,W,81-24,FIBA Americas U16,https://www.usab.com/basketball/media/pdfs/2015/wu16-stats/19pdf.aspx
U-16,6/27/15,Brazil,L,63-72,FIBA Americas U16,https://www.usab.com/basketball/media/pdfs/2015/wu16-stats/15pdf.aspx
U-16,6/26/15,Mexico,W,85-44,FIBA Americas U16,https://www.usab.com/basketball/media/pdfs/2015/wu16-stats/12pdf.aspx
U-16,6/25/15,Honduras,W,86-41,FIBA Americas U16,https://www.usab.com/basketball/media/pdfs/2015/wu16-stats/15-wu16-05-usa-honpdf.aspx
U-16,6/24/15,Argentina,W,80-48,FIBA Americas U16,https://www.usab.com/basketball/media/pdfs/2015/wu16-stats/15-wu16-box-03pdf.aspx
PanAm,8/10/19,Brazil,L,73-79,Pan American Games,https://www.usab.com/basketball/media/pdfs/2019/wpag/8-10-bra-usapdf.aspx
PanAm,8/9/19,Puerto Rico,W,62-59,Pan American Games,https://www.usab.com/basketball/media/pdfs/2019/wpag/8-9-usa-purpdf.aspx
PanAm,8/8/19,Colombia,W,75-63,Pan American Games,https://www.usab.com/basketball/media/pdfs/2019/wpag/8-8-usa-colpdf.aspx
PanAm,8/7/19,U.S. Virgin Islands,W,103-55,Pan American Games,https://www.usab.com/basketball/media/pdfs/2019/wpag/8-7-usa-isvpdf.aspx
PanAm,8/6/19,Argentina,W,70-62,Pan American Games,https://www.usab.com/basketball/media/pdfs/2019/wpag/8-6-usa-argpdf.aspx
PanAm,7/20/15,Canada,L,73-81,Pan American Games,https://www.usab.com/basketball/media/pdfs/2015/wpag-stats/usa-canpdf.aspx
PanAm,7/19/15,Cuba,W,65-64,Pan American Games,https://www.usab.com/basketball/media/pdfs/2015/wpag-stats/usa-cubpdf.aspx
PanAm,7/18/15,Puerto Rico,W,93-77,Pan American Games,https://www.usab.com/basketball/media/pdfs/2015/wpag-stats/usa-purpdf.aspx
PanAm,7/17/15,Dominican Republic,W,94-55,Pan American Games,https://www.usab.com/basketball/media/pdfs/2015/wpag-stats/usa-dompdf.aspx
PanAm,7/16/15,Brazil,W,75-69,Pan American Games,https://www.usab.com/basketball/media/pdfs/2015/wpag-stats/04pdf.aspx
PanAm,10/25/11,Jamaica,W,87-41,Pan American Games,
PanAm,10/24/11,Mexico,W,87-58,Pan American Games,